9,60 -0.4999956462145229
9,65 -0.4999956462145229
9,70 -0.4999956462145229
9,75 -0.4999956462145229
9,80 -0.4999956462145229
9,85 -0.4999956462145229
9,90 -0.4999956462145229
9,95 -0.4999956462145229
10,00 -0.4999992555252277
10,05 -0.4999992555252277
10,10 -0.4999992555252277
10,15 -0.4999992555252277
10,20 -0.4999992555252277
10,25 -0.4999992555252277
10,30 -0.4999992555252277
10,35 -0.4999992555252277
10,40 -0.4999992555252277
10,45 -0.4999992555252277
10,50 -0.4999992555252277
10,55 -0.4999992555252277
10,60 -0.4999992555252277
10,65 -0.4999992555252277
10,70 -0.4999992555252277
10,75 -0.4999992555252277
10,80 -0.4999992555252277
10,85 -0.4999992555252277
10,90 -0.4999992555252277
10,95 -0.4999992555252277
11,00 -0.49999987086970404
11,05 -0.49999987086970404
11,10 -0.49999987086970404
11,15 -0.49999987086970404
11,20 -0.49999987086970404
11,25 -0.49999987086970404
11,30 -0.49999987086970404
11,35 -0.49999987086970404
11,40 -0.49999987086970404
11,45 -0.49999987086970404
11,50 -0.49999987086970404
11,55 -0.49999987086970404
11,60 -0.49999987086970404
11,65 -0.49999987086970404
11,70 -0.49999987086970404
11,75 -0.49999987086970404
11,80 -0.49999987086970404
11,85 -0.49999987086970404
11,90 -0.49999987086970404
11,95 -0.49999987086970404
12,00 -0.4999999731557157
12,05 -0.4999999731557157
12,10 -0.4999999731557157
12,15 -0.4999999731557157
12,20 -0.4999999731557157
12,25 -0.4999999731557157
12,30 -0.4999999731557157
12,35 -0.4999999731557157
12,40 -0.4999999731557157
12,45 -0.4999999731557157
12,50 -0.4999999731557157
12,55 -0.4999999731557157
12,60 -0.4999999731557157
12,65 -0.4999999731557157
12,70 -0.4999999731557157
12,75 -0.4999999731557157
12,80 -0.4999999731557157
12,85 -0.4999999731557157
12,90 -0.4999999731557157
12,95 -0.4999999731557157
13,00 -0.49999999009698115
13,05 -0.49999999009698115
13,10 -0.49999999009698115
13,15 -0.49999999009698115
13,20 -0.49999999009698115
13,25 -0.49999999009698115
13,30 -0.49999999009698115
13,35 -0.49999999009698115
13,40 -0.49999999009698115
13,45 -0.49999999009698115
13,50 -0.49999999009698115
13,55 -0.49999999009698115
13,60 -0.49999999009698115
13,65 -0.49999999009698115
13,70 -0.49999999009698115
13,75 -0.49999999009698115
13,80 -0.49999999009698115
13,85 -0.49999999009698115
13,90 -0.49999999009698115
13,95 -0.49999999009698115
14,00 -0.4999999931444562
14,05 -0.4999999931444562
14,10 -0.4999999931444562
14,15 -0.4999999931444562
14,20 -0.4999999931444562
14,25 -0.4999999931444562
14,30 -0.4999999931444562
14,35 -0.4999999931444562
14,40 -0.4999999931444562
14,45 -0.4999999931444562
14,50 -0.4999999931444562
14,55 -0.4999999931444562
14,60 -0.4999999931444562
14,65 -0.4999999931444562
14,70 -0.4999999931444562
14,75 -0.4999999931444562
14,80 -0.4999999931444562
14,85 -0.4999999931444562
14,90 -0.4999999931444562
14,95 -0.4999999931444562
15,00 -0.4999999936942824
15,05 -0.4999999936942824
15,10 -0.4999999936942824
15,15 -0.4999999936942824
15,20 -0.4999999936942824
15,25 -0.4999999936942824
15,30 -0.4999999936942824
15,35 -0.4999999936942824
15,40 -0.4999999936942824
15,45 -0.4999999936942824
15,50 -0.4999999936942824
15,55 -0.4999999936942824
15,60 -0.4999999936942824
15,65 -0.4999999936942824
15,70 -0.4999999936942824
15,75 -0.4999999936942824
15,80 -0.4999999936942824
15,85 -0.4999999936942824
15,90 -0.4999999936942824
15,95 -0.4999999936942824
16,00 -0.49999999396492883
16,05 -0.49999999396492883
